1	-0.05687	-0.06558	-0.03810	-0.08390	-0.05575	-0.06262	-0.06492	-0.03969	-0.08382	-0.08147	-0.07758	-0.05683	-0.07486	-0.03571	-0.05454	-0.04851	-0.05885	-0.07921	-0.10070	-0.05076	-0.07966	-0.07011	-0.06552	-0.07431	-0.05910	-0.07113	-0.07260	-0.09209	-0.09778	-0.09331	-0.09017	-0.08795	-0.08247	-0.06763	-0.06164	-0.07002	-0.07752	-0.04544	-0.06771	-0.07920	-0.10135	-0.09508	-0.08984	-0.10433	-0.08405	-0.09382	-0.11482	-0.06169	-0.09085	-0.06568	-0.08783	-0.07906	-0.05531	-0.06882	-0.09295	-0.06607	-0.08336	-0.07425	-0.07146	-0.07750	-0.07272	-0.10314	-0.10237
2	-0.08472	-0.08821	-0.06035	-0.10481	-0.07756	-0.08073	-0.09208	-0.06013	-0.09834	-0.10528	-0.10011	-0.07554	-0.09711	-0.05517	-0.07251	-0.06486	-0.08013	-0.09896	-0.12788	-0.06556	-0.10589	-0.09186	-0.08755	-0.09448	-0.08636	-0.09101	-0.09143	-0.12418	-0.12609	-0.11695	-0.12044	-0.11231	-0.11338	-0.08741	-0.08213	-0.08793	-0.10626	-0.06604	-0.09004	-0.10247	-0.12430	-0.11736	-0.11185	-0.13312	-0.10255	-0.11792	-0.13949	-0.08406	-0.11359	-0.08522	-0.10630	-0.09762	-0.07529	-0.09435	-0.11256	-0.09576	-0.10325	-0.09622	-0.08768	-0.09550	-0.09518	-0.12761	-0.12550
3	-0.10761	-0.10024	-0.08168	-0.11287	-0.09731	-0.09368	-0.11402	-0.08157	-0.10305	-0.12072	-0.11497	-0.08871	-0.11228	-0.07662	-0.08449	-0.07669	-0.09182	-0.10822	-0.13534	-0.07642	-0.11955	-0.10111	-0.10375	-0.10726	-0.10765	-0.10107	-0.10007	-0.14068	-0.14326	-0.12279	-0.14442	-0.12482	-0.13302	-0.09509	-0.08897	-0.09629	-0.12821	-0.08574	-0.09921	-0.11324	-0.13380	-0.11958	-0.12285	-0.14086	-0.10538	-0.12359	-0.14427	-0.09671	-0.12308	-0.09369	-0.11140	-0.10351	-0.09141	-0.10881	-0.12100	-0.11832	-0.11070	-0.10676	-0.09489	-0.10335	-0.10631	-0.13328	-0.13395
4	-0.13166	-0.11602	-0.10736	-0.12824	-0.12641	-0.11735	-0.14413	-0.11016	-0.11790	-0.14354	-0.13745	-0.11198	-0.13459	-0.10731	-0.10466	-0.09441	-0.10766	-0.12518	-0.14636	-0.09569	-0.13438	-0.11110	-0.12637	-0.13071	-0.13296	-0.11606	-0.11575	-0.15796	-0.16778	-0.13257	-0.17893	-0.14610	-0.15349	-0.10604	-0.09815	-0.11072	-0.15712	-0.11353	-0.10933	-0.12861	-0.15224	-0.12662	-0.14448	-0.15033	-0.11281	-0.13316	-0.15631	-0.11074	-0.14252	-0.10756	-0.12312	-0.11671	-0.11503	-0.12540	-0.13963	-0.14537	-0.12698	-0.12223	-0.11190	-0.12123	-0.12287	-0.14325	-0.15088
5	-0.15602	-0.13708	-0.13815	-0.14901	-0.16302	-0.14951	-0.18347	-0.14658	-0.13331	-0.16745	-0.16086	-0.14691	-0.15862	-0.14619	-0.13251	-0.11569	-0.13071	-0.14641	-0.16041	-0.12094	-0.14557	-0.12025	-0.14907	-0.15959	-0.16203	-0.13419	-0.13328	-0.17058	-0.19223	-0.14162	-0.21635	-0.17133	-0.16939	-0.11904	-0.11197	-0.12688	-0.18722	-0.14843	-0.12285	-0.14614	-0.16938	-0.13771	-0.16901	-0.15912	-0.11860	-0.14466	-0.17122	-0.12731	-0.16753	-0.12866	-0.13237	-0.13372	-0.14281	-0.14173	-0.16074	-0.17676	-0.14837	-0.13999	-0.13529	-0.14444	-0.14122	-0.15275	-0.16845
6	-0.18308	-0.16539	-0.17362	-0.17569	-0.20400	-0.18845	-0.22776	-0.18846	-0.15185	-0.19472	-0.19016	-0.19097	-0.18803	-0.18669	-0.16577	-0.14130	-0.16304	-0.17355	-0.18201	-0.15410	-0.15957	-0.13483	-0.17479	-0.19597	-0.19460	-0.16442	-0.15883	-0.17997	-0.22586	-0.15785	-0.25817	-0.20513	-0.18920	-0.13797	-0.13293	-0.14773	-0.22003	-0.18997	-0.14059	-0.16689	-0.19407	-0.15897	-0.19744	-0.17628	-0.13014	-0.16535	-0.19727	-0.15139	-0.20097	-0.15553	-0.14893	-0.15889	-0.17032	-0.16210	-0.18649	-0.21564	-0.17405	-0.16251	-0.16853	-0.17419	-0.16666	-0.16923	-0.19116
7	-0.21477	-0.20042	-0.21438	-0.20700	-0.24604	-0.23235	-0.27184	-0.23233	-0.17519	-0.22643	-0.22306	-0.24363	-0.22254	-0.22767	-0.20466	-0.17099	-0.20473	-0.20616	-0.21387	-0.19123	-0.18055	-0.16175	-0.20476	-0.23725	-0.23105	-0.20550	-0.19488	-0.19545	-0.26961	-0.18506	-0.30208	-0.25062	-0.21851	-0.16535	-0.16596	-0.17506	-0.25925	-0.23741	-0.16442	-0.19236	-0.23006	-0.19242	-0.23104	-0.20722	-0.15166	-0.19863	-0.23495	-0.18442	-0.24007	-0.18985	-0.17549	-0.19484	-0.19957	-0.18844	-0.21728	-0.26268	-0.20551	-0.19377	-0.21283	-0.20958	-0.20493	-0.19799	-0.22055
8	-0.25110	-0.23861	-0.25833	-0.23809	-0.28431	-0.27765	-0.30896	-0.27466	-0.19944	-0.25750	-0.25320	-0.29991	-0.25669	-0.26887	-0.24526	-0.20147	-0.25116	-0.23898	-0.25401	-0.22662	-0.20603	-0.20031	-0.23645	-0.27611	-0.26995	-0.25030	-0.23434	-0.22463	-0.31682	-0.22123	-0.34102	-0.30497	-0.25637	-0.19861	-0.21076	-0.20597	-0.30292	-0.28799	-0.19396	-0.22199	-0.27242	-0.23553	-0.26678	-0.25010	-0.18023	-0.23940	-0.27661	-0.22351	-0.27803	-0.23508	-0.20844	-0.23781	-0.23257	-0.21869	-0.24897	-0.31416	-0.24114	-0.23356	-0.26503	-0.24498	-0.25275	-0.23662	-0.25219
9	-0.28909	-0.27356	-0.29540	-0.26110	-0.31090	-0.31599	-0.33008	-0.31020	-0.22021	-0.28196	-0.27517	-0.34507	-0.28323	-0.30037	-0.27574	-0.22580	-0.28968	-0.26532	-0.29413	-0.25874	-0.23847	-0.23983	-0.26474	-0.30335	-0.30566	-0.28972	-0.26983	-0.26282	-0.36116	-0.26032	-0.36503	-0.35701	-0.29682	-0.22724	-0.25765	-0.23102	-0.34198	-0.33232	-0.21946	-0.24966	-0.31183	-0.28160	-0.29525	-0.29599	-0.20852	-0.27597	-0.31412	-0.26223	-0.30691	-0.28078	-0.24252	-0.27430	-0.25900	-0.24742	-0.27691	-0.36176	-0.27099	-0.27380	-0.31564	-0.26980	-0.29597	-0.27279	-0.27766
10	-0.32095	-0.29755	-0.31832	-0.27164	-0.32207	-0.33969	-0.33332	-0.33284	-0.23242	-0.29552	-0.28441	-0.37214	-0.29486	-0.31699	-0.29104	-0.24110	-0.31333	-0.27969	-0.32374	-0.27925	-0.27336	-0.26885	-0.28266	-0.31315	-0.32682	-0.31476	-0.29463	-0.30207	-0.38899	-0.29028	-0.36606	-0.39202	-0.32963	-0.24440	-0.29274	-0.24253	-0.36628	-0.36069	-0.23512	-0.26949	-0.33682	-0.31690	-0.30658	-0.33485	-0.22730	-0.29903	-0.33944	-0.29116	-0.31827	-0.31592	-0.26431	-0.29649	-0.27085	-0.26945	-0.29492	-0.39455	-0.28580	-0.30098	-0.34470	-0.27965	-0.32757	-0.29403	-0.28891
