1	-0.15802	-0.11090	-0.10375	-0.08475	-0.14476	-0.10028	-0.09862	-0.09760	-0.09438	-0.08999	-0.10027	-0.09589	-0.10057	-0.12668	-0.09032	-0.13711	-0.17516	-0.08151	-0.13183	-0.10352	-0.14934	-0.11286	-0.07600	-0.11568	-0.12229	-0.10844	-0.12178	-0.12427	-0.08268	-0.10237	-0.09654	-0.14766	-0.04638	-0.05998	-0.04073	-0.05320	-0.06437	-0.03156	-0.05771	-0.09202	-0.05659	-0.07410	-0.08499	-0.06219	-0.05957	-0.05118	-0.06730	-0.04272	-0.07601	-0.07090	-0.04849	-0.06263	-0.03357	-0.05060	-0.05513	-0.04475	-0.03516	-0.04688	-0.05513	-0.05016	-0.04792	-0.03768
2	-0.18723	-0.12501	-0.13581	-0.09763	-0.16843	-0.11240	-0.10496	-0.11859	-0.11722	-0.11367	-0.11800	-0.12562	-0.11811	-0.13580	-0.10666	-0.15211	-0.18842	-0.09285	-0.14619	-0.12444	-0.17729	-0.13778	-0.08683	-0.13098	-0.13905	-0.12588	-0.15588	-0.15096	-0.09819	-0.12212	-0.10319	-0.16917	-0.04037	-0.06474	-0.04431	-0.07119	-0.08271	-0.04618	-0.06879	-0.11383	-0.06994	-0.07840	-0.09313	-0.07095	-0.06557	-0.06692	-0.07972	-0.04956	-0.08889	-0.09206	-0.06053	-0.06406	-0.03314	-0.06313	-0.07527	-0.05404	-0.04935	-0.05286	-0.06790	-0.06423	-0.06928	-0.05270
3	-0.18518	-0.11521	-0.14863	-0.09440	-0.16354	-0.10846	-0.09171	-0.11709	-0.12097	-0.11308	-0.11278	-0.14116	-0.11466	-0.11867	-0.10743	-0.13730	-0.16770	-0.08561	-0.13693	-0.12989	-0.17734	-0.14323	-0.08006	-0.12206	-0.14076	-0.12137	-0.17177	-0.15443	-0.09681	-0.12441	-0.09495	-0.15853	-0.02783	-0.05174	-0.03975	-0.09012	-0.09292	-0.05841	-0.06574	-0.11729	-0.06878	-0.06840	-0.08633	-0.06941	-0.06161	-0.06849	-0.07275	-0.04687	-0.09023	-0.09564	-0.05739	-0.05650	-0.02323	-0.05950	-0.08482	-0.05651	-0.05359	-0.04201	-0.07550	-0.06265	-0.08642	-0.07906
4	-0.18767	-0.11658	-0.16362	-0.10447	-0.16749	-0.11950	-0.09003	-0.12030	-0.13026	-0.11437	-0.11137	-0.16025	-0.11487	-0.11599	-0.11817	-0.13359	-0.16359	-0.08160	-0.14158	-0.14594	-0.19107	-0.15655	-0.08461	-0.12356	-0.15970	-0.12173	-0.19220	-0.16432	-0.10316	-0.13611	-0.10378	-0.15735	-0.03508	-0.04527	-0.04421	-0.13213	-0.10156	-0.08045	-0.06676	-0.12535	-0.07394	-0.07098	-0.09162	-0.07246	-0.07317	-0.07378	-0.07219	-0.05690	-0.10119	-0.09687	-0.05580	-0.06412	-0.02415	-0.05599	-0.09878	-0.07415	-0.05663	-0.03740	-0.09642	-0.06342	-0.10645	-0.12794
5	-0.17696	-0.12552	-0.17449	-0.12180	-0.16546	-0.13740	-0.09123	-0.12520	-0.13929	-0.11720	-0.10753	-0.16909	-0.10980	-0.12022	-0.13404	-0.13494	-0.15962	-0.07431	-0.14565	-0.16235	-0.20445	-0.16469	-0.10029	-0.12776	-0.18019	-0.12076	-0.19874	-0.17083	-0.11098	-0.14419	-0.11797	-0.15089	-0.05778	-0.04316	-0.05916	-0.19188	-0.09506	-0.11150	-0.06698	-0.12251	-0.09057	-0.08061	-0.10431	-0.06906	-0.09657	-0.07995	-0.08304	-0.08519	-0.11316	-0.09394	-0.06102	-0.07822	-0.04223	-0.05431	-0.11376	-0.10549	-0.05766	-0.05026	-0.12455	-0.07126	-0.11522	-0.18862
6	-0.17614	-0.14212	-0.18563	-0.14572	-0.16714	-0.16377	-0.09863	-0.14040	-0.15933	-0.12657	-0.10635	-0.17099	-0.10840	-0.13237	-0.15656	-0.14758	-0.16935	-0.08223	-0.16534	-0.18290	-0.22709	-0.17558	-0.12433	-0.13570	-0.20220	-0.12511	-0.20722	-0.18960	-0.12479	-0.16390	-0.13205	-0.15520	-0.09505	-0.04808	-0.08724	-0.24726	-0.08590	-0.14286	-0.07714	-0.11399	-0.11998	-0.10364	-0.12940	-0.07066	-0.13151	-0.09327	-0.10333	-0.12484	-0.13021	-0.10205	-0.07854	-0.10822	-0.07743	-0.06457	-0.13515	-0.13873	-0.05777	-0.07581	-0.15115	-0.09133	-0.12235	-0.24622
7	-0.19831	-0.16921	-0.20586	-0.18143	-0.18177	-0.19794	-0.11685	-0.17209	-0.19874	-0.14878	-0.11374	-0.17887	-0.12211	-0.15701	-0.19082	-0.17543	-0.20202	-0.11187	-0.20361	-0.21812	-0.27081	-0.19672	-0.15905	-0.15787	-0.22941	-0.14120	-0.22950	-0.23246	-0.15151	-0.20104	-0.15724	-0.18139	-0.14669	-0.06716	-0.13231	-0.29973	-0.08544	-0.17227	-0.10693	-0.11222	-0.16964	-0.15069	-0.17171	-0.08570	-0.18001	-0.12864	-0.13888	-0.17339	-0.15856	-0.12729	-0.11103	-0.15190	-0.12380	-0.09881	-0.17019	-0.17790	-0.07209	-0.12108	-0.19293	-0.12579	-0.13901	-0.29412
8	-0.24248	-0.21029	-0.24285	-0.23335	-0.21023	-0.23794	-0.14611	-0.21807	-0.25949	-0.19012	-0.13401	-0.20433	-0.15653	-0.19560	-0.23946	-0.21761	-0.25206	-0.16189	-0.25458	-0.26693	-0.33602	-0.23115	-0.20668	-0.20002	-0.26290	-0.16878	-0.26828	-0.29785	-0.19295	-0.25391	-0.19983	-0.22863	-0.20862	-0.10715	-0.19076	-0.35201	-0.09969	-0.20163	-0.15821	-0.12761	-0.24308	-0.21854	-0.22907	-0.11637	-0.24247	-0.18841	-0.19408	-0.23252	-0.20070	-0.16835	-0.16143	-0.19968	-0.17678	-0.15399	-0.22279	-0.22625	-0.10861	-0.18771	-0.24898	-0.17665	-0.17031	-0.33649
9	-0.30359	-0.26615	-0.29727	-0.29761	-0.24772	-0.28806	-0.18259	-0.26587	-0.33685	-0.25509	-0.16998	-0.23935	-0.20561	-0.23639	-0.29655	-0.27062	-0.30260	-0.23193	-0.31717	-0.31678	-0.40310	-0.27704	-0.26263	-0.25743	-0.29822	-0.19981	-0.31830	-0.37437	-0.24250	-0.31860	-0.24319	-0.28781	-0.26903	-0.16721	-0.24990	-0.39647	-0.13044	-0.23285	-0.22279	-0.16371	-0.32938	-0.28616	-0.29009	-0.16065	-0.31296	-0.26172	-0.26398	-0.29900	-0.25043	-0.22139	-0.23446	-0.24846	-0.23551	-0.21938	-0.28757	-0.27657	-0.16178	-0.26121	-0.29498	-0.24568	-0.21408	-0.37967
10	-0.37045	-0.32814	-0.35748	-0.36430	-0.28938	-0.33887	-0.22000	-0.30777	-0.41581	-0.33381	-0.21443	-0.28066	-0.26146	-0.27625	-0.34565	-0.32640	-0.34318	-0.30776	-0.37738	-0.36383	-0.46657	-0.32703	-0.31585	-0.32246	-0.32768	-0.23118	-0.36833	-0.45080	-0.29559	-0.39037	-0.28470	-0.34756	-0.31659	-0.23419	-0.29790	-0.43868	-0.17203	-0.26344	-0.29245	-0.21578	-0.40632	-0.34057	-0.34579	-0.21639	-0.37875	-0.33739	-0.33919	-0.36355	-0.29857	-0.27685	-0.31500	-0.28757	-0.29006	-0.29034	-0.35560	-0.31291	-0.22505	-0.32449	-0.34113	-0.32030	-0.26469	-0.41881
