1	0.05789	0.04866	0.04486	0.05734	0.04466	0.06176	0.06258	0.04763	0.04235	0.03989	0.04614	0.04338	0.04428	0.05798	0.05751	0.05523	0.06179	0.04369	0.06404	0.05854	0.06757	0.04796	0.04254	0.04536	0.06982	0.05428	0.05473	0.05429	0.04445	0.04389	0.05852	0.06016	0.06068	0.04848	0.06396	0.07044	0.04699	0.04629	0.04260	0.04308	0.06399	0.06350	0.06781	0.04565	0.04716	0.04181	0.04776	0.04752	0.05062	0.05859	0.04126	0.05698	0.04217	0.04630	0.05212	0.04462	0.03982	0.05339	0.05850	0.04167	0.04037	0.06491
2	0.08584	0.07498	0.07034	0.08791	0.06621	0.09411	0.08985	0.07396	0.06926	0.06341	0.07004	0.06777	0.06718	0.08453	0.08663	0.08300	0.09122	0.07129	0.09467	0.08974	0.10367	0.07209	0.06831	0.07170	0.10336	0.07825	0.08421	0.08416	0.06866	0.06842	0.08673	0.08991	0.09243	0.07506	0.09640	0.11003	0.06673	0.07444	0.06560	0.05983	0.09860	0.09531	0.10000	0.06620	0.07384	0.06166	0.07578	0.07378	0.07534	0.08735	0.06641	0.08392	0.06838	0.07363	0.08165	0.06978	0.06454	0.08360	0.08957	0.06502	0.05697	0.10413
3	0.11594	0.10350	0.09952	0.12114	0.08933	0.12751	0.11513	0.10450	0.10194	0.09154	0.09553	0.09594	0.09202	0.11063	0.11628	0.11135	0.12211	0.10451	0.12696	0.12319	0.14273	0.09896	0.09779	0.10247	0.13662	0.10139	0.11829	0.11877	0.09627	0.09810	0.11507	0.12283	0.12651	0.10493	0.13058	0.15210	0.08724	0.10621	0.09254	0.07842	0.13560	0.12907	0.13190	0.08886	0.10424	0.08483	0.10806	0.10303	0.10152	0.11865	0.09642	0.11177	0.09819	0.10629	0.11586	0.09773	0.09439	0.11659	0.12197	0.09187	0.07543	0.14687
4	0.15902	0.14178	0.13970	0.16596	0.12243	0.17105	0.14967	0.14767	0.14727	0.13147	0.12995	0.13545	0.12618	0.14647	0.15474	0.14905	0.16438	0.14946	0.17220	0.16699	0.19545	0.13699	0.13672	0.14412	0.18001	0.13296	0.16635	0.16675	0.13462	0.14083	0.15272	0.17027	0.17241	0.14577	0.17586	0.20563	0.11809	0.14721	0.13138	0.10932	0.18430	0.17472	0.17422	0.12315	0.14570	0.12034	0.15181	0.14295	0.13808	0.16271	0.13785	0.15043	0.13683	0.15081	0.16346	0.13415	0.13495	0.15956	0.16368	0.12907	0.10495	0.19957
5	0.20848	0.18412	0.18592	0.21545	0.16037	0.21745	0.18643	0.19835	0.20122	0.17936	0.16769	0.18147	0.16444	0.18526	0.19466	0.18978	0.20994	0.20073	0.22253	0.21393	0.25413	0.18024	0.17997	0.19072	0.22479	0.16630	0.22187	0.22132	0.17848	0.19174	0.19242	0.22516	0.22275	0.19163	0.22396	0.26211	0.15329	0.19197	0.17759	0.14844	0.23733	0.22417	0.21864	0.16382	0.19256	0.16444	0.20175	0.18824	0.17892	0.21219	0.18614	0.19274	0.17926	0.20121	0.21834	0.17374	0.18130	0.20615	0.20780	0.17202	0.14136	0.25395
6	0.26307	0.22942	0.23703	0.26857	0.20206	0.26558	0.22438	0.25568	0.26254	0.23402	0.20768	0.23228	0.20589	0.22611	0.23515	0.23260	0.25794	0.25699	0.27657	0.26334	0.31756	0.22713	0.22629	0.24083	0.27055	0.20093	0.28337	0.28051	0.22678	0.24962	0.23327	0.28596	0.27640	0.24123	0.27368	0.32021	0.19187	0.23979	0.23018	0.19639	0.29409	0.27613	0.26449	0.20969	0.24344	0.21682	0.25690	0.23787	0.22261	0.26574	0.23995	0.23760	0.22429	0.25575	0.27881	0.21642	0.23202	0.25562	0.25402	0.22012	0.18459	0.30909
7	0.32134	0.27653	0.29137	0.32384	0.24649	0.31450	0.26360	0.31841	0.32940	0.29380	0.24843	0.28612	0.24932	0.26847	0.27536	0.27686	0.30688	0.31645	0.33253	0.31319	0.38413	0.27526	0.27424	0.29214	0.31612	0.23612	0.34826	0.34116	0.27762	0.31097	0.27415	0.35102	0.33169	0.29261	0.32359	0.37788	0.23247	0.28910	0.28721	0.25106	0.35295	0.32869	0.31052	0.25839	0.29651	0.27506	0.31530	0.29060	0.26785	0.32147	0.29743	0.28401	0.27055	0.31162	0.34313	0.26053	0.28465	0.30664	0.30096	0.27153	0.23246	0.36318
8	0.38104	0.32361	0.34677	0.37935	0.29182	0.36249	0.30296	0.38430	0.39934	0.35640	0.28806	0.34066	0.29316	0.31095	0.31440	0.32134	0.35517	0.37717	0.38791	0.36179	0.45128	0.32242	0.32219	0.34265	0.36020	0.27099	0.41355	0.40074	0.32891	0.37226	0.31377	0.41773	0.38636	0.34341	0.37213	0.43314	0.27327	0.33805	0.34618	0.30918	0.41177	0.37974	0.35527	0.30721	0.34957	0.33655	0.37456	0.34421	0.31284	0.37712	0.35619	0.33038	0.31652	0.36657	0.40881	0.30426	0.33694	0.35736	0.34685	0.32396	0.28231	0.41467
9	0.44029	0.36966	0.40184	0.43441	0.33716	0.40884	0.34185	0.45089	0.47000	0.41995	0.32629	0.39406	0.33693	0.35307	0.35253	0.36544	0.40196	0.43808	0.44094	0.40878	0.51712	0.36784	0.36926	0.39159	0.40291	0.30553	0.47722	0.45804	0.37955	0.43140	0.35212	0.48383	0.43931	0.39292	0.41835	0.48555	0.31331	0.38551	0.40531	0.36785	0.46946	0.42790	0.39858	0.35461	0.40151	0.39918	0.43289	0.39682	0.35638	0.43114	0.41430	0.37575	0.36122	0.41920	0.47368	0.34655	0.38758	0.40624	0.39069	0.37604	0.33231	0.46340
10	0.49787	0.41382	0.45537	0.48799	0.38170	0.45310	0.37982	0.51631	0.53948	0.48264	0.36325	0.44533	0.38002	0.39450	0.39029	0.40911	0.44651	0.49772	0.49084	0.45385	0.58078	0.41086	0.41480	0.43867	0.44480	0.33963	0.53769	0.51214	0.42840	0.48680	0.38951	0.54788	0.48990	0.44063	0.46168	0.53577	0.35159	0.43157	0.46273	0.42457	0.52523	0.47236	0.44071	0.39924	0.45167	0.46094	0.48871	0.44717	0.39779	0.48220	0.47009	0.41928	0.40454	0.46835	0.53650	0.38714	0.43561	0.45276	0.43249	0.42681	0.38068	0.51066
