1	0.04119	0.05464	0.04234	0.07331	0.05071	0.05211	0.07788	0.04078	0.06505	0.06861	0.07815	0.05280	0.07120	0.05299	0.06217	0.07732	0.05204	0.06677	0.05387	0.06859	0.03948	0.04867	0.06128	0.07168	0.05287	0.05985	0.07355	0.04162	0.06165	0.05398	0.08490	0.06230	0.04707	0.05532	0.04332	0.06246	0.05787	0.04816	0.05641	0.05425	0.07038	0.04705	0.07745	0.06173	0.06769	0.07123	0.06967	0.04237	0.07300	0.05198	0.05520	0.07046	0.06356	0.04803	0.06926	0.03922	0.06473	0.06359	0.05601	0.07490	0.05181	0.06354	0.06780
2	0.07080	0.09007	0.07541	0.11190	0.08508	0.08803	0.12076	0.07329	0.09723	0.10511	0.12112	0.08972	0.11253	0.08985	0.09957	0.11730	0.08732	0.10407	0.08678	0.10888	0.06443	0.07959	0.09728	0.11086	0.08920	0.09648	0.11168	0.06948	0.09729	0.08477	0.13201	0.10100	0.07785	0.08688	0.07229	0.10061	0.09640	0.08162	0.08816	0.08534	0.10625	0.07820	0.11847	0.09589	0.10125	0.10886	0.10776	0.07339	0.11500	0.08480	0.08577	0.10648	0.10023	0.07995	0.10563	0.07020	0.10017	0.10008	0.09200	0.11305	0.08155	0.09745	0.10340
3	0.10449	0.12865	0.11372	0.15025	0.12219	0.12797	0.16371	0.11144	0.12820	0.14116	0.16432	0.13054	0.15603	0.12959	0.13921	0.15520	0.12646	0.14203	0.12315	0.15003	0.09268	0.11431	0.13472	0.15124	0.12955	0.13618	0.14937	0.10224	0.13487	0.11935	0.17995	0.14325	0.11308	0.12080	0.10603	0.14096	0.13968	0.11880	0.12103	0.11733	0.14379	0.11455	0.16102	0.13305	0.13662	0.14733	0.14732	0.10871	0.15950	0.11964	0.11971	0.14277	0.13802	0.11618	0.14151	0.10731	0.13669	0.13915	0.13204	0.15112	0.11565	0.13339	0.14053
4	0.14648	0.17670	0.16033	0.19948	0.16698	0.17735	0.21777	0.15800	0.16820	0.18665	0.21769	0.18029	0.21171	0.17678	0.18892	0.20179	0.17501	0.19008	0.17043	0.20021	0.12996	0.15934	0.18145	0.20259	0.17948	0.18594	0.19766	0.14610	0.18254	0.16651	0.23970	0.19704	0.15936	0.16536	0.15070	0.19100	0.19427	0.16461	0.16331	0.15780	0.19494	0.16265	0.21663	0.18313	0.18595	0.19781	0.19869	0.15248	0.21614	0.16267	0.16592	0.19067	0.18549	0.16246	0.18707	0.15446	0.18403	0.18978	0.18310	0.20069	0.16266	0.18148	0.18999
5	0.19399	0.22957	0.21178	0.25311	0.21535	0.23224	0.27639	0.21077	0.21099	0.23570	0.27342	0.23468	0.27375	0.22724	0.24298	0.24969	0.22872	0.24274	0.22378	0.25297	0.17349	0.21050	0.23182	0.25731	0.23459	0.23983	0.24969	0.19812	0.23416	0.22116	0.30287	0.25689	0.21323	0.21541	0.20288	0.24494	0.25483	0.21584	0.21013	0.20258	0.25244	0.21850	0.27686	0.24019	0.24205	0.25375	0.25511	0.20168	0.27750	0.21021	0.21872	0.24336	0.23714	0.21437	0.23573	0.20895	0.23621	0.24580	0.24019	0.25398	0.21751	0.23536	0.24480
6	0.24681	0.28657	0.26762	0.31039	0.26672	0.29213	0.33964	0.26885	0.25589	0.28744	0.33230	0.29348	0.34244	0.28050	0.30084	0.29872	0.28692	0.29947	0.28240	0.30828	0.22262	0.26715	0.28506	0.31515	0.29416	0.29772	0.30489	0.25729	0.28922	0.28313	0.37009	0.32220	0.27427	0.27012	0.26135	0.30193	0.32040	0.27236	0.26047	0.25086	0.31547	0.28095	0.34092	0.30340	0.30401	0.31447	0.31607	0.25595	0.34312	0.26145	0.27764	0.30028	0.29229	0.27096	0.28671	0.26987	0.29203	0.30655	0.30258	0.31037	0.27938	0.29474	0.30423
7	0.30452	0.34688	0.32778	0.37145	0.32092	0.35715	0.40753	0.33202	0.30327	0.34230	0.39417	0.35693	0.41794	0.33694	0.36268	0.34947	0.34916	0.36066	0.34522	0.36623	0.27651	0.32817	0.34078	0.37546	0.35746	0.35863	0.36354	0.32247	0.34704	0.35106	0.44122	0.39254	0.34168	0.32862	0.32473	0.36167	0.38990	0.33496	0.31338	0.30249	0.38288	0.34854	0.40808	0.37157	0.37067	0.37961	0.38045	0.31451	0.41213	0.31642	0.34138	0.36138	0.35096	0.33104	0.33993	0.33595	0.35054	0.37078	0.36931	0.36914	0.34648	0.35883	0.36755
8	0.36617	0.40946	0.39226	0.43563	0.37752	0.42718	0.47910	0.40014	0.35262	0.39988	0.45835	0.42527	0.49924	0.39696	0.42861	0.40208	0.41474	0.42593	0.41078	0.42662	0.33333	0.39200	0.39827	0.43737	0.42385	0.42175	0.42429	0.39179	0.40635	0.42262	0.51522	0.46692	0.41376	0.38954	0.39162	0.42354	0.46223	0.40423	0.36744	0.35698	0.45258	0.41949	0.47722	0.44280	0.43950	0.44736	0.44607	0.37633	0.48349	0.37511	0.40801	0.42586	0.41286	0.39316	0.39458	0.40576	0.41053	0.43694	0.43928	0.42870	0.41629	0.42622	0.43321
9	0.43158	0.47406	0.46154	0.50226	0.43620	0.50209	0.55308	0.47292	0.40390	0.45974	0.52491	0.49887	0.58507	0.46092	0.49871	0.45685	0.48338	0.49483	0.47816	0.48992	0.39201	0.45731	0.45730	0.50102	0.49295	0.48702	0.48637	0.46285	0.46660	0.49604	0.59096	0.54464	0.48892	0.45194	0.46099	0.48725	0.53655	0.48083	0.42179	0.41447	0.52356	0.49219	0.54768	0.51592	0.50887	0.51636	0.51187	0.44117	0.55692	0.43756	0.47636	0.49297	0.47775	0.45655	0.45040	0.47822	0.47123	0.50403	0.51175	0.48836	0.48673	0.49625	0.50026
10	0.49988	0.54033	0.53508	0.57031	0.49690	0.58077	0.62760	0.54964	0.45688	0.52128	0.59289	0.57727	0.67288	0.52878	0.57252	0.51412	0.55473	0.56624	0.54630	0.55576	0.45170	0.52331	0.51774	0.56609	0.56402	0.55429	0.54910	0.53410	0.52690	0.56915	0.66656	0.62407	0.56584	0.51538	0.53213	0.55244	0.61206	0.56437	0.47611	0.47493	0.59460	0.56529	0.61841	0.59014	0.57723	0.58524	0.57663	0.50854	0.63168	0.50361	0.54488	0.56200	0.54501	0.52074	0.50693	0.55211	0.53232	0.57108	0.58529	0.54777	0.55673	0.56755	0.56749
